"id","title","year","cites","venue","inst","atHome","inCv","doiInCv","authors","overlap","verdict"
"W3081767089","On-Tissue Derivatization with Girard’s Reagent P Enhances N-Glycan Signals for Formalin-Fixed Paraffin-Embedded Tissue Sections in MALDI Mass Spectrometry Imaging","2020","69","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Hua Zhang; Xudong Shi; Nhu Q. Vu; Gongyu Li; Zihui Li; Yatao Shi; Miyang Li; Bin Wang; Nathan V. Welham; Manish S. Patankar; Paul Weisman","11","keep"
"W2896305731","Differential Quantitative Determination of Site-Specific Intact <i>N</i>-Glycopeptides in Serum Haptoglobin between Hepatocellular Carcinoma and Cirrhosis Using LC-EThcD-MS/MS","2018","68","Journal of Proteome Research","University of Wisconsin–Madison","True","True","False","Jianhui Zhu; Zhengwei Chen; Jie Zhang; Mingrui An; Jing Wu; Qing Yu; St John Skilton; Marshall Bern; K. Ilker Sen; David M. Lubman","10","keep"
"W3198827504","PKM2‐TMEM33 axis regulates lipid homeostasis in cancer cells by controlling SCAP stability","2021","68","The EMBO Journal","University of Wisconsin–Madison","True","False","False","Fabao Liu; M Ma; Ang Gao; Fengfei Ma; Gui Ma; Peng Liu; Chenxi Jia; Yidan Wang; Kristine Donahue; Shengjie Zhang; Irene M. Ong; Sündüz Keleş; Wei Xu","11","keep"
"W4403233863","Development of folate receptor targeting chimeras for cancer selective degradation of extracellular proteins","2024","68","Nature Communications","University of Wisconsin–Madison","True","False","False","Yaxian Zhou; Chunrong Li; Xuankun Chen; Yuan Zhao; Yaxian Liao; Penghsuan Huang; Wenxin Wu; Nicholas S. Nieto; Weiping Tang","3","keep"
"W2792518984","Site-specific characterization and quantitation of <i>N</i> -glycopeptides in PKM2 knockout breast cancer cells using DiLeu isobaric tags enabled by electron-transfer/higher-energy collision dissociation (EThcD)","2018","66","The Analyst","University of Wisconsin–Madison; Tianjin University; Madison Group (United States)","True","True","False","Zhengwei Chen; Qing Yu; Ling Hao; Fabao Liu; Jillian Johnson; Zichuan Tian; Weiyuan John Kao; Wei Xu","8","keep"
"W4381186164","Integrative metabolomics science in Alzheimer’s disease: Relevance and future perspectives","2023","64","Ageing Research Reviews","University of Wisconsin–Madison","True","True","True","Simone Lista; Raúl González‐Domínguez; Susana López‐Ortiz; Álvaro González‐Domínguez; Héctor Menéndez; Juan Martín‐Hernández; Alejandro Lucía; Enzo Emanuele; Diego Centonze; Bruno P. Imbimbo; Viviana Triaca; Luana Lionetto; Maurizio Simmaco; Miroslava Čuperlović‐Culf; Jericha Mill; Mark Mapstone; Alejandro Santos‐Lozano; Robert Nisticò","18","keep"
"W4391617016","Allosteric modulation and G-protein selectivity of the Ca2+-sensing receptor","2024","64","Nature","University of Wisconsin–Madison","True","False","False","Feng He; Cheng-Guo Wu; Yang Gao; Sabrina N. Rahman; Magda Zaoralová; Makaía M. Papasergi-Scott; Ting‐Jia Gu; Michael J. Robertson; Alpay B. Seven; Jesper Mosolff Mathiesen; Georgios Skiniotis","1","keep"
"W2137853848","Distribution and physiological effects of B‐type allatostatins (myoinhibitory peptides, MIPs) in the stomatogastric nervous system of the crab <i>Cancer borealis</i>","2011","62","The Journal of Comparative Neurology","University of Wisconsin–Madison","True","True","False","T Szabo; Ruibing Chen; Marie L. Goeritz; Ryan Maloney; Lamont S. Tang; Eve Marder","6","keep"
"W3025812695","21-plex DiLeu Isobaric Tags for High-Throughput Quantitative Proteomics","2020","62","Analytical Chemistry","University of Wisconsin–Madison","True","True","False","Dustin C. Frost; Feng Yu","2","keep"
"W3170717656","Dual-Functional Ti(IV)-IMAC Material Enables Simultaneous Enrichment and Separation of Diverse Glycopeptides and Phosphopeptides","2021","59","Analytical Chemistry","University of Wisconsin–Madison","True","True","True","Junfeng Huang; Xiaoyan Liu; Danqing Wang; Yusi Cui; Xudong Shi; Jing Dong; Mingliang Ye","7","keep"
